iter	RMSE
0	22.14818945
1	22.05802623
2	21.9825449
3	21.91319397
4	21.82777778
5	21.76448361
6	21.7062228
7	21.65319614
8	21.60143656
9	21.55582815
10	21.50819322
11	21.47211544
12	21.43512185
13	21.39804423
14	21.35503759
15	21.32138012
16	21.30113625
17	21.27182612
18	21.21977823
19	21.1885293
20	21.14877561
21	21.12284642
22	21.09494014
23	21.06063586
24	21.03350693
25	21.01518633
26	20.99953528
27	20.96162688
28	20.94652722
29	20.92568552
30	20.91161065
31	20.892151
32	20.87105288
33	20.83735497
34	20.8136369
35	20.79477107
36	20.77444545
37	20.7501061
38	20.7392824
39	20.71654883
40	20.70616342
41	20.68292987
42	20.66632315
43	20.64008803
44	20.61098137
45	20.59423431
46	20.56344414
47	20.5424259
48	20.51406462
49	20.4898355
50	20.4782023
51	20.45052682
52	20.43157215
53	20.41732373
54	20.4035107
55	20.39203416
56	20.37432216
57	20.35724969
58	20.34970303
59	20.33639018
60	20.32325409
61	20.30422359
62	20.29464076
63	20.28318276
64	20.26742461
65	20.25490918
66	20.24168771
67	20.22403253
68	20.207532
69	20.19441643
70	20.18494145
71	20.17309447
72	20.16110497
73	20.14052516
74	20.13176802
75	20.11894581
76	20.10648941
77	20.08930181
78	20.07698975
79	20.06918425
80	20.05916577
81	20.05247458
82	20.04226355
83	20.03706636
84	20.03100644
85	20.01590628
86	20.00555018
87	19.98953621
88	19.98190268
89	19.96524827
90	19.95211756
91	19.94331218
92	19.92422948
93	19.91512873
94	19.89894649
95	19.89518973
96	19.88253115
97	19.87010404
98	19.86314192
99	19.85553087
100	19.85002943
101	19.83471215
102	19.82472597
103	19.81486668
104	19.80455241
105	19.79039034
106	19.77755428
107	19.76213142
108	19.75091725
109	19.74393302
110	19.73735914
111	19.72002184
112	19.71200863
113	19.70145618
114	19.69674012
115	19.68359603
116	19.67556793
117	19.67037349
118	19.66333757
119	19.64804716
120	19.64211453
121	19.63072958
122	19.6261806
123	19.61187658
124	19.59832476
125	19.58523324
126	19.57091004
127	19.55990143
128	19.5532317
129	19.54573519
130	19.53314751
131	19.52767226
132	19.51656576
133	19.50209608
134	19.49012864
135	19.47392767
136	19.45699687
137	19.45132862
138	19.4432021
139	19.42841972
140	19.41466791
141	19.40470847
142	19.39350429
143	19.38584636
144	19.37660118
145	19.36850805
146	19.36145115
147	19.35466206
148	19.34396553
149	19.33783882
150	19.33095049
151	19.31948604
152	19.30976299
153	19.30013086
154	19.29440807
155	19.2895758
156	19.27606858
157	19.26455782
158	19.25829026
159	19.24961087
160	19.2423453
161	19.23434369
162	19.22460242
163	19.21525496
164	19.20708044
165	19.19804455
166	19.19131789
167	19.18459459
168	19.17973517
169	19.17383917
170	19.16787999
171	19.16135381
172	19.15472363
173	19.14212591
174	19.13481903
175	19.12515762
176	19.11867128
177	19.11332926
178	19.10367178
179	19.09726485
180	19.09300056
181	19.08717136
182	19.07992921
183	19.0711197
184	19.06519475
185	19.05834335
186	19.05232263
187	19.04581558
188	19.03792573
189	19.03212646
190	19.02678745
191	19.01661068
192	19.01224284
193	19.00743188
194	18.99729796
195	18.99192018
196	18.98528062
197	18.97900249
198	18.97443802
199	18.96807709
200	18.96003076
201	18.95435811
202	18.9467003
203	18.94060823
204	18.93381561
205	18.92706686
206	18.91932794
207	18.91496112
208	18.90421955
209	18.90030718
210	18.89542608
211	18.88924895
212	18.88112328
213	18.87637025
214	18.86888253
215	18.86175019
216	18.85691849
217	18.85159524
218	18.84784504
219	18.84067627
220	18.83065167
221	18.82536237
222	18.81578165
223	18.80749726
224	18.80048629
225	18.79639173
226	18.7897439
227	18.7851472
228	18.77687892
229	18.77107193
230	18.76466613
231	18.75834457
232	18.75253497
233	18.74273909
234	18.73948192
235	18.7338374
236	18.72760563
237	18.72061228
238	18.71706121
239	18.70860936
240	18.70430577
241	18.69964557
242	18.69244087
243	18.68728102
244	18.68067144
245	18.67353971
246	18.66898844
247	18.66275493
248	18.65735168
249	18.65250096
250	18.64632365
251	18.63940183
252	18.63185426
253	18.62585202
254	18.61897681
255	18.61387183
256	18.60805871
257	18.6030935
258	18.59878613
259	18.59375637
260	18.58931327
261	18.58597153
262	18.58333268
263	18.57791926
264	18.57311232
265	18.56866412
266	18.56278385
267	18.55807832
268	18.55122746
269	18.54567041
270	18.53956917
271	18.53674062
272	18.53285712
273	18.52525706
274	18.52144121
275	18.51645528
276	18.51053447
277	18.50359944
278	18.49910029
279	18.49496702
280	18.48959033
281	18.48294277
282	18.47827519
283	18.47275684
284	18.46872439
285	18.46469643
286	18.46194678
287	18.45631557
288	18.44901421
289	18.44374866
290	18.44073834
291	18.43625501
292	18.42978546
293	18.42536992
294	18.41975552
295	18.41546012
296	18.4102458
297	18.40343795
298	18.39711654
299	18.39136773
300	18.38621115
301	18.38050038
302	18.37730218
303	18.37079993
304	18.3666057
305	18.36195566
306	18.35839351
307	18.35215307
308	18.34849545
309	18.34271445
310	18.33827007
311	18.3324049
312	18.32850778
313	18.3247266
314	18.32011971
315	18.31532867
316	18.31232877
317	18.30634676
318	18.30292233
319	18.29717695
320	18.28818906
321	18.28265154
322	18.27922735
323	18.27399789
324	18.26860146
325	18.26347531
326	18.25722266
327	18.25411415
328	18.24851353
329	18.2433439
330	18.24013461
331	18.2321108
332	18.22752918
333	18.22297037
334	18.22063689
335	18.21769965
336	18.21115533
337	18.20500895
338	18.20171856
339	18.19665899
340	18.19418206
341	18.19004089
342	18.18573235
343	18.18018418
344	18.17496659
345	18.16971435
346	18.16702077
347	18.16327071
348	18.15991079
349	18.15609694
350	18.15142025
351	18.14780922
352	18.14519887
353	18.1420504
354	18.13672143
355	18.1336186
356	18.12976816
357	18.12499319
358	18.12049833
359	18.11523618
360	18.11189128
361	18.10956368
362	18.10519368
363	18.10263334
364	18.09935489
365	18.09568523
366	18.09332779
367	18.08127438
368	18.07695218
369	18.07365268
370	18.06950515
371	18.06525971
372	18.06206686
373	18.05920529
374	18.05466292
375	18.05219534
376	18.0496293
377	18.03828092
378	18.03510701
379	18.03114886
380	18.02837553
381	18.02317106
382	18.01983626
383	18.01607557
384	18.01240844
385	18.01032243
386	18.00708081
387	18.00131155
388	17.99285391
389	17.98924321
390	17.98648844
391	17.98260602
392	17.97605725
393	17.97161271
394	17.96872971
395	17.96456119
396	17.96097531
397	17.95725677
398	17.95413522
399	17.9514577
400	17.9471238
401	17.94386522
402	17.94099998
403	17.93770806
404	17.93435954
405	17.92923086
406	17.92467341
407	17.92102877
408	17.91786202
409	17.91414972
410	17.91034916
411	17.90629882
412	17.90277982
413	17.90009695
414	17.89570916
415	17.8937936
416	17.89028623
417	17.886424
418	17.88206698
419	17.87535764
420	17.87070064
421	17.86657129
422	17.86344727
423	17.8585437
424	17.85645255
425	17.85254534
426	17.85022786
427	17.845488
428	17.84135288
429	17.83763108
430	17.83507191
431	17.83284934
432	17.82759323
433	17.82438836
434	17.8215483
435	17.81564887
436	17.81300037
437	17.80831223
438	17.80231789
439	17.79832584
440	17.79555255
441	17.79257388
442	17.7888954
443	17.78563051
444	17.78259162
445	17.78036864
446	17.77766689
447	17.7740797
448	17.76983022
449	17.76632303
450	17.76299055
451	17.75706964
452	17.75271004
453	17.75029914
454	17.74707157
455	17.74326144
456	17.74060206
457	17.73787655
458	17.7360366
459	17.7338876
460	17.73090011
461	17.72854667
462	17.72443767
463	17.72056286
464	17.71625627
465	17.71357071
466	17.71043347
467	17.70669407
468	17.70433667
469	17.70043819
470	17.6970499
471	17.69239538
472	17.68898326
473	17.68582422
474	17.68248699
475	17.67820354
476	17.67322171
477	17.6700767
478	17.66562401
479	17.66225178
480	17.65982005
481	17.65675393
482	17.65238718
483	17.64720907
484	17.6430838
485	17.64000292
486	17.6365189
487	17.63317401
488	17.62902349
489	17.62528683
490	17.62220829
491	17.61935357
492	17.6162815
493	17.6135575
494	17.61096557
495	17.60811293
496	17.60497054
497	17.6020017
498	17.59902935
499	17.5951524
500	17.59247812
501	17.5899972
502	17.58745638
503	17.58467735
504	17.58168699
505	17.57808455
506	17.57368204
507	17.57007937
508	17.56744094
509	17.56502
510	17.5632615
511	17.56097181
512	17.55830541
513	17.5553961
514	17.5512592
515	17.54722425
516	17.54289878
517	17.53870845
518	17.53425682
519	17.53174384
520	17.52797065
521	17.52456996
522	17.5219517
523	17.51774145
524	17.51469954
525	17.5105466
526	17.50712141
527	17.50402987
528	17.50041025
529	17.49721572
530	17.49393825
531	17.49140481
532	17.48764815
533	17.48365477
534	17.48031018
535	17.47820561
536	17.47502624
537	17.47198365
538	17.46756337
539	17.4630797
540	17.45972428
541	17.45757778
542	17.45415139
543	17.45234365
544	17.44716409
545	17.44334068
546	17.44036381
547	17.43710786
548	17.43367218
549	17.42944216
550	17.42649578
551	17.42364204
552	17.42060995
553	17.41757313
554	17.41401891
555	17.41019163
556	17.40722227
557	17.40356276
558	17.4007024
559	17.39768438
560	17.39552326
561	17.39281708
562	17.39090678
563	17.38838034
564	17.38602225
565	17.38349233
566	17.37978875
567	17.37813164
568	17.37593849
569	17.37348767
570	17.37073173
571	17.36721635
572	17.36453761
573	17.36148447
574	17.35923101
575	17.35695384
576	17.35338984
577	17.34999185
578	17.347674
579	17.34502423
580	17.34213012
581	17.33918148
582	17.33747644
583	17.33349056
584	17.33075061
585	17.32817412
586	17.32543431
587	17.32155572
588	17.31762018
589	17.31250248
590	17.31016647
591	17.30802877
592	17.30590108
593	17.30310623
594	17.30010732
595	17.29705866
596	17.29432188
597	17.2919721
598	17.28973177
599	17.28731947
600	17.28530576
601	17.28200318
602	17.27917634
603	17.27659579
604	17.2734578
605	17.27047804
606	17.2673332
607	17.26417914
608	17.26134491
609	17.25801847
610	17.25555518
611	17.25236848
612	17.24936431
613	17.24558087
614	17.24348852
615	17.24139206
616	17.2384588
617	17.2355617
618	17.23068734
619	17.22826549
620	17.22508851
621	17.22202947
622	17.22017002
623	17.21690748
624	17.2132502
625	17.21082769
626	17.20680815
627	17.20405536
628	17.20030611
629	17.19681633
630	17.19325495
631	17.19022554
632	17.18812692
633	17.18640226
634	17.18401891
635	17.18086018
636	17.17869882
637	17.17624926
638	17.17260517
639	17.17035289
640	17.16738039
641	17.16508868
642	17.16108468
643	17.15879358
644	17.15525403
645	17.1515987
646	17.14882395
647	17.14529524
648	17.1439642
649	17.14221093
650	17.13999141
651	17.13819318
652	17.13485962
653	17.13211905
654	17.13036385
655	17.12674757
656	17.12379885
657	17.12154273
658	17.11857549
659	17.11513345
660	17.1130082
661	17.10993669
662	17.10805252
663	17.10535946
664	17.10306962
665	17.10025899
666	17.09737116
667	17.09566156
668	17.09385895
669	17.09138303
670	17.08792042
671	17.08474611
672	17.08265306
673	17.07724926
674	17.07568218
675	17.07294761
676	17.07131792
677	17.06889243
678	17.06609937
679	17.06335675
680	17.05942661
681	17.05717406
682	17.05440934
683	17.05324615
684	17.05083531
685	17.0494104
686	17.04770516
687	17.04564606
688	17.04308153
689	17.0394696
690	17.03675179
691	17.03515992
692	17.0327132
693	17.03039162
694	17.02740258
695	17.02496487
696	17.02266773
697	17.02011846
698	17.01741192
699	17.01603638
700	17.01444599
701	17.01140019
702	17.00843029
703	17.00624718
704	17.00475008
705	17.00226209
706	16.99940563
707	16.99775304
708	16.99623399
709	16.99358895
710	16.99134968
711	16.98987509
712	16.98775326
713	16.98355877
714	16.98082326
715	16.97783535
716	16.97624396
717	16.97407869
718	16.97186729
719	16.96907873
720	16.96808712
721	16.96589002
722	16.96267573
723	16.95989733
724	16.95756576
725	16.95558073
726	16.95246401
727	16.94944858
728	16.94763594
729	16.94547385
730	16.94263443
731	16.93943604
732	16.93708304
733	16.93453282
734	16.9319243
735	16.92960151
736	16.92829442
737	16.926194
738	16.92237673
739	16.91872563
740	16.91530356
741	16.91204989
742	16.91055259
743	16.90750227
744	16.90502949
745	16.90431912
746	16.9024515
747	16.89916021
748	16.89756227
749	16.8954966
750	16.89265158
751	16.89068087
752	16.88840682
753	16.88526871
754	16.88281208
755	16.8817715
756	16.8797249
757	16.87665182
758	16.87457393
759	16.87211657
760	16.86949901
761	16.8679327
762	16.86348883
763	16.86116025
764	16.85830258
765	16.85686399
766	16.85341994
767	16.85157706
768	16.85025618
769	16.847882
770	16.84406456
771	16.84127404
772	16.83789261
773	16.83500893
774	16.83267702
775	16.8305053
776	16.82865722
777	16.8268498
778	16.82474598
779	16.82200545
780	16.81978539
781	16.81762135
782	16.81552023
783	16.81391999
784	16.81103467
785	16.80861288
786	16.80713476
787	16.80493808
788	16.80316643
789	16.79969611
790	16.79813766
791	16.79499926
792	16.7932601
793	16.79131811
794	16.78963205
795	16.78756746
796	16.78563531
797	16.78310072
798	16.78045695
799	16.77769987
800	16.77576407
801	16.7736969
802	16.77156097
803	16.77020751
804	16.76687751
805	16.76486112
806	16.76330895
807	16.76175913
808	16.76004449
809	16.75807485
810	16.7552486
811	16.75168822
812	16.74850156
813	16.746452
814	16.74414584
815	16.74234525
816	16.73924014
817	16.73763107
818	16.73468401
819	16.73242476
820	16.73038434
821	16.72829345
822	16.72592107
823	16.72345329
824	16.72063311
825	16.71800393
826	16.71592993
827	16.71347193
828	16.71125783
829	16.70907316
830	16.70611118
831	16.70340495
832	16.70063038
833	16.69822095
834	16.694891
835	16.6914542
836	16.68874715
837	16.68608566
838	16.68363495
839	16.68230731
840	16.68146717
841	16.67919452
842	16.6763571
843	16.6743512
844	16.66988088
845	16.66779109
846	16.66549048
847	16.66366989
848	16.66179837
849	16.65989217
850	16.65792716
851	16.65595875
852	16.65327305
853	16.65186773
854	16.65055882
855	16.64810964
856	16.64636484
857	16.64387509
858	16.64170453
859	16.63991003
860	16.63672599
861	16.6327975
862	16.63143316
863	16.62828444
864	16.62627969
865	16.62385603
866	16.62118973
867	16.61737732
868	16.61485541
869	16.61301123
870	16.61051104
